kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_8.ptx 164 : 4665027 24637674 0 0 0 0 0 0 0 
_6.ptx 2951 : 11075584 44884288 0 0 0 0 0 0 0 
_8.ptx 166 : 4665027 39181653 0 0 0 0 0 0 0 
_6.ptx 2952 : 11075584 46165504 0 0 0 0 0 0 0 
_8.ptx 167 : 4665027 25740 0 0 0 0 0 0 0 
_6.ptx 2953 : 11075584 47071872 0 0 0 0 0 0 0 
_6.ptx 2954 : 11075584 143620224 0 0 0 0 0 0 0 
_8.ptx 169 : 4661286 23428730 0 0 0 0 0 0 0 
_6.ptx 2955 : 11075584 81743104 0 0 0 0 0 0 0 
_6.ptx 2956 : 11075584 143149344 0 0 0 0 0 0 0 
_8.ptx 171 : 4661286 39008860 0 0 0 0 0 0 0 
_6.ptx 2957 : 11075584 123814208 0 0 0 0 0 0 0 
_8.ptx 172 : 4661286 24952 0 0 0 0 0 0 3738 
_6.ptx 2958 : 11075584 269218688 44302336 0 0 346112 346112 0 0 
_8.ptx 174 : 4657548 22883723 0 0 0 0 0 0 0 
_6.ptx 2961 : 11075584 68708256 0 0 0 0 0 0 0 
_8.ptx 176 : 4657548 63087212 0 0 0 0 0 0 0 
_8.ptx 177 : 4657548 52863986 0 0 0 0 0 0 0 
_8.ptx 178 : 4657548 35791589 0 0 0 0 0 0 0 
_8.ptx 179 : 4657548 60050518 0 0 0 0 0 0 0 
_8.ptx 180 : 4657548 52883034 0 0 0 0 0 0 0 
_8.ptx 181 : 4657548 653764766 2217728 0 0 235494 145782 0 0 
_8.ptx 182 : 4657548 30927639 0 0 0 0 0 0 0 
_8.ptx 185 : 14964 99261 0 0 0 0 0 0 0 
_8.ptx 187 : 4672512 44515616 18690048 0 0 146016 146016 0 0 
_8.ptx 188 : 4672512 48422976 0 0 0 0 0 0 0 
_8.ptx 189 : 4672512 52898336 0 0 0 0 0 0 0 
_8.ptx 191 : 4672512 30203744 0 0 0 0 0 0 0 
_8.ptx 193 : 4672512 39400032 0 0 0 0 0 0 0 
_8.ptx 194 : 4672512 20997568 0 0 0 0 0 0 0 
_8.ptx 195 : 1557504 21697248 0 0 0 0 0 0 0 
_8.ptx 196 : 1557504 20508128 0 0 0 0 0 0 0 
_8.ptx 197 : 1557504 17805536 0 0 0 0 0 0 0 
_8.ptx 198 : 1557504 16507936 0 0 0 0 0 0 0 
